id,img_filename,img_path,meme_text,gold_sentiment,vit_p_neg,vit_p_neu,vit_p_pos,mmh_p_neg,mmh_p_neu,mmh_p_pos,mmf_p_neg,mmf_p_neu,mmf_p_pos,mm_top1,mm_p1,mm_top2,mm_p2,mm_top3,mm_p3,text_rationale,neighbor_id_1,neighbor_id_2
2074,image_2075.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_2075.jpg,AMERICAN HITLER COMING VERY SOON Memeshappen,1,0.21172735,0.76500565,0.02326705,0.28744093,0.30911314,0.40344587,0.29697403,0.32919618,0.37382975,positive,0.37382975,neutral,0.32919618,negative,0.29697403,"keywords: american, hitler, coming, very, soon, memeshappen",,
241,image_242.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_242.png,f/dielaughter Mr. Bean and Teddy Bear is still a better relationship than most of couples have these days.,2,0.013856728,0.3229506,0.6631927,0.32484835,0.27821824,0.3969334,0.2864301,0.27438155,0.43918833,positive,0.43918833,negative,0.2864301,neutral,0.27438155,"keywords: dielaughter, bean, and, teddy, bear, still",,
102,image_103.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_103.png,Screen Time According to Birth Order 1st Child: One Baby Einstien video a day. 2nd Child: Two hours of Nick Jr. a day. 3rd Child: Is currently watching The Godfather. OUTNUMBERED MOTHER Just sayin by Kid # 2 we were watching Ninjas with machetes!,2,0.6870225,0.2881741,0.024803406,0.15077393,0.5115292,0.33769682,0.116520755,0.5694402,0.31403905,neutral,0.5694402,positive,0.31403905,negative,0.116520755,"keywords: screen, time, according, birth, order, child",,
2987,image_2988.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_2988.jpg,Obama: you know what  Gryffindor,0,0.26716933,0.46871707,0.26411358,0.21319911,0.5850738,0.20172703,0.20632629,0.6273789,0.16629489,neutral,0.6273789,negative,0.20632629,positive,0.16629489,"keywords: obama, you, know, what, gryffindor",,
151,image_152.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_152.png,A lie is just a great story that someone ruined with the truth. -Borne Simon,2,0.46828038,0.1103404,0.4213792,0.3317619,0.5368482,0.13138998,0.26752117,0.60862875,0.12385008,neutral,0.60862875,negative,0.26752117,positive,0.12385008,"keywords: lie, just, great, story, that, someone",,
2317,image_2318.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_2318.jpg,I ORDER YOU TO SMELL MY FINGER quickmeme.com,1,0.5961799,0.007749242,0.3960709,0.43346313,0.45727563,0.10926121,0.4197603,0.4575662,0.12267351,neutral,0.4575662,negative,0.4197603,positive,0.12267351,"keywords: order, you, smell, finger, quickmeme, com",,
3051,image_3052.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_3052.jpg,Obama is the best Please send porn! P PORN memecenter.com Memetenter,0,0.0010744345,0.7417134,0.25721207,0.3116032,0.5677909,0.12060589,0.3096688,0.55316806,0.13716309,neutral,0.55316806,negative,0.3096688,positive,0.13716309,"keywords: obama, the, best, please, send, porn",,
5329,image_5330.jpeg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_5330.jpeg,YOU FINISHED YOUR PLATE BECAUSE I WAS STARVING?,1,0.6428114,0.33154255,0.025646038,0.17894639,0.7055813,0.11547232,0.15063083,0.7407434,0.10862576,neutral,0.7407434,negative,0.15063083,positive,0.10862576,"keywords: you, finished, your, plate, because, was",,
4606,image_4607.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_4607.png,When someone insulting JORD OF THE RINGS in my presence. @lotr_hun I will destroy you. (y) Fantasy and Sci-Fi Rock My World,1,0.0061738826,0.95297194,0.04085415,0.23647888,0.62426615,0.13925499,0.19348903,0.66054994,0.14596108,neutral,0.66054994,negative,0.19348903,positive,0.14596108,"keywords: when, someone, insulting, jord, the, rings",,
5246,image_5247.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_5247.jpg,JOINS FB GROUP FOR FREE EXPERT ACVW ADVICE BITCHES ABOUT HITLER MEMES AND TITTY PICS memegenerator.net,1,0.4971383,0.10631987,0.3965419,0.7695871,0.11506319,0.115349665,0.81094646,0.09195729,0.09709626,negative,0.81094646,positive,0.09709626,neutral,0.09195729,"keywords: joins, group, for, free, expert, acvw",,
5120,image_5121.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_5121.jpg,HOW AM I STILL BREATHING IF SHE HAS MY NOSE? quickmeme.com,0,0.87876993,0.00854822,0.11268182,0.63235605,0.28114316,0.08650075,0.65455604,0.26192653,0.083517455,negative,0.65455604,neutral,0.26192653,positive,0.083517455,"keywords: how, still, breathing, she, has, nose",,
967,image_968.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_968.jpg,No Oscars? Bitch  I've got internet memes.,1,0.0014394392,0.9963211,0.0022395148,0.51344806,0.42093918,0.065612786,0.55035096,0.3968248,0.052824307,negative,0.55035096,neutral,0.3968248,positive,0.052824307,"keywords: oscars, bitch, i've, got, internet, memes",,
5742,image_5743.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_5743.jpg,THIS IS BILL BILL RESPECTS THE OPINION OF OTHERS IN SOCIAL MEDIA BILL DOESNTBULLY ANYONE IN THE INTERNET BILL HATES CYBERBULLYING BILLIS SMART BE LIKE BILL,2,0.946891,0.04456459,0.008544398,0.5876452,0.3383254,0.07402941,0.59051585,0.34590897,0.06357525,negative,0.59051585,neutral,0.34590897,positive,0.06357525,"keywords: this, bill, respects, the, opinion, others",,
4194,image_4195.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_4195.jpg,When you trying to Netflix and chill but she starts undressing THE DOOR IS THIS WAY,2,0.004554041,0.07341563,0.9220303,0.72687495,0.22608826,0.047036808,0.7304276,0.22937785,0.040194508,negative,0.7304276,neutral,0.22937785,positive,0.040194508,"keywords: when, you, trying, netflix, and, chill",,
2787,image_2788.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_2788.png,THAT'S NOT HOW SCIENCE WORKS made on imgur,1,0.27786955,0.7001036,0.022026854,0.68364656,0.14735998,0.16899346,0.7187895,0.1450068,0.13620368,negative,0.7187895,neutral,0.1450068,positive,0.13620368,"keywords: that's, not, how, science, works, made",,
4187,image_4188.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_4188.jpg,I'M THROWING AWAY A MILLION DOLLARS BUT I'M HAPPY! imgflip.com,2,0.05487492,0.11669745,0.8284276,0.49040964,0.37589884,0.13369152,0.4919479,0.36361825,0.14443387,negative,0.4919479,neutral,0.36361825,positive,0.14443387,"keywords: i'm, throwing, away, million, dollars, but",,
6960,image_6961.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_6961.jpg,THAT FACE YOUR FRIEND GIVES YOU WHEN YOUR CRUSH WALKS INTO THE ROOM.,0,0.15204313,0.5944991,0.25345778,0.6476162,0.19818306,0.1542008,0.6362053,0.20241755,0.16137716,negative,0.6362053,neutral,0.20241755,positive,0.16137716,"keywords: that, face, your, friend, gives, you",,
5879,image_5880.png,/content/drive/MyDrive/CSE594: Assignment 2/images/image_5880.png,The real reason Gene Wilder wanted a black Charlie to be casted I WANT A CHOCOLATE BOY TO RUN MY CHOCOLATE FACTOR The Chocolate Factory,0,0.0020158542,0.9915776,0.0064064423,0.2708677,0.11850985,0.6106224,0.26914808,0.108939745,0.6219122,positive,0.6219122,negative,0.26914808,neutral,0.108939745,"keywords: the, real, reason, gene, wilder, wanted",,
1653,image_1654.jpg,/content/drive/MyDrive/CSE594: Assignment 2/images/image_1654.jpg,When you tryna smash but your dog is watching boredpanda.com,0,0.01900169,0.007902738,0.97309554,0.3041709,0.2524205,0.4434086,0.26629767,0.22610667,0.5075956,positive,0.5075956,negative,0.26629767,neutral,0.22610667,"keywords: when, you, tryna, smash, but, your",,
